Protein,A/N 1,A/N 2,A/N 3,A/N 4,A/N 5,A/N 6,A/N 7,A/N 8,A/N 9,A/N 10,A/N 11,A/N 12,A/N 13,A/N 14,A/N 15,A/N 16,A/N 17,A/N 18,A/N 19,A/N 20,A/N 21,A/N 22,A/N 23,A/N 24,A/N 25,A/N 26,A/N 27,A/N 28,A/N 29,A/N 30,,,,,,0,0
A0AV96,-0.116656192,-0.290498589,-0.355428271,0.065986102,-0.537395347,-0.202526848,0.008905851,-0.248628122,-0.177460691,-0.046860401,-0.261141279,-0.103426206,0.06109935,0.070984109,-0.269895724,0.336683768,-0.072769335,-0.488696672,-0.687387604,-0.21071968,-0.101729493,-0.604724413,-0.396023763,-0.691216322,-0.120447417,0.025579048,-0.547375376,-0.184487373,-0.175754984,-0.253577653,,,,,,,
A0AVT1,-0.025249431,0.786936651,-0.551969335,0.130674118,-0.246793272,-0.084894339,0.012676344,0.072786528,-0.091100608,-0.024337606,0.015109053,-0.073041463,0.018403084,-0.329404182,0.148010497,0.97811577,0.491029459,0.117117683,0.475265895,0.514130653,0.10415985,-0.355166909,-0.080966496,0.112571388,-0.041975621,-0.530222275,0.385518723,0.337061822,0.371035174,0.329984855,,,,,,,
A0FGR8,0.355407365,-0.168100902,0.162845092,-0.080429405,-0.108049964,-0.08907547,0.088758558,-0.020812558,-0.011557496,-0.138914115,0.369643587,0.201283874,-0.230244693,0.10266431,-0.053556248,0.396290768,0.062068114,-0.275651596,-0.539239393,1.305276166,0.087944153,-0.421914141,0.640320146,0.802793031,-2.214081082,-7.017296289,-0.274270012,-0.68221643,0.085212607,-0.562617712,,,,,,,
A0MZ66,0.26207006,-0.533482726,-0.126562458,0.101528632,-0.43436255,0.025274778,-0.032662081,-0.266368617,0.126009558,0.037665979,0.035580813,0.188898386,-0.032792154,0.370137944,-0.026177244,-0.017491153,0.262758782,0.219899324,0.322607786,1.03249609,0.314687675,-0.40599646,0.073010946,-0.401349219,-0.180130705,0.612654108,-0.077981475,0.136105891,-0.738519575,-0.460840746,,,,,,,
A1L0T0,-0.081029627,-0.497253213,0.000309797,-0.138463375,0.223526241,-0.310827875,-0.077898835,-0.151222098,-0.024156993,-0.460482575,0.251169638,-0.829209388,0.035627856,-0.265870807,0.008970516,-0.127827359,0.181919873,-0.452480539,-0.552832492,0.542771439,-0.541166419,0.277451433,0.557251159,-0.889463974,-0.31720007,-0.029803132,-0.141077628,-1.804254016,2.697167756,-2.545031827,,,,,,,
A2A274,-0.228407087,-0.069780192,0.65745805,-0.006697589,-0.601621138,-0.091110312,-0.132000757,-0.03571635,-0.120082027,0.055282833,-0.1996672,0.07717136,0.090880537,0.092203155,0.020305848,0.10782138,-0.002451594,-0.184144879,-0.054836558,0.098130718,0.071922586,0.177931284,-0.16242592,-0.516779535,-0.379395085,0.528308947,-0.413470313,-0.278829902,-0.694714666,-0.247072967,,,,,,,
A5YKK6,-0.050156763,-0.053722822,-0.093838844,-0.43385468,0.731837051,-0.10583094,0.207008668,0.039527847,0.16472776,-0.168165053,-0.073476871,0.29365757,0.163257619,-0.07442163,0.177281036,0.238133627,1.33272233,0.333062991,1.015123289,-0.57814453,-0.122309458,-6.486710405,0.888689411,0.820844782,-0.256154103,0.161768297,-0.096534588,-0.976394409,0.617110648,-0.506402483,,,,,,,
A5YVE9,-0.257709051,-0.169324383,0.764983592,0.386329742,-0.252582238,-0.10467502,0.154986488,0.143344146,-0.07519883,0.352733659,-0.096203674,0.013830386,0.659193181,0.016890496,0.04587359,0.066225284,0.333166202,0.264001297,-0.474160279,-0.165715308,0.322297687,0.362217115,1.197082983,0.750903993,-0.291458577,1.200161098,-0.462533584,-0.353593171,0.343711536,0.189926065,,,,,,,
A8K7I4,-0.005665931,-1.128205618,1.356970989,-0.676366949,0.779511325,0.474518904,0.08174895,0.092082665,0.004002564,-0.457938846,-0.080132901,1.116631961,-0.057829703,-0.649996665,0.007944639,-1.121987117,0.600574631,-0.170890336,0.094101584,-1.138459136,0.106171013,2.726994006,1.928365615,-1.211470136,0.850839782,0.54526212,-1.02689785,-1.193083921,-2.670274437,-0.286168756,,,,,,,
A8MUT5,0.340001185,0.550747338,0.007149886,0.27743694,0.206077013,-0.051490291,0.151059903,0.197723257,0.452153124,0.23068164,0.068417873,0.319252764,0.127930384,0.114396538,-0.125099954,0.340993093,0.995779663,-0.010296513,-0.421522965,0.190062346,0.715498667,-0.182794594,0.423894995,-0.173655103,0.750600167,0.79632486,0.478647713,0.256666381,0.635149283,0.262846703,,,,,,,
A8MXP9,0.216371565,0.445667144,-0.213801681,0.029810382,-0.037570524,0.065487087,0.242688016,0.133571795,0.11693777,0.09003338,-0.024603022,0.254772499,0.032992087,0.278473737,-0.003428564,0.675142788,0.404535319,0.065988836,0.096731813,0.408780781,0.56359853,-0.283510842,-0.25279879,0.241731648,0.554475601,0.544937737,0.350132108,-0.133689124,0.177614091,-0.076721264,,,,,,,
A8MZ73,0.391605733,1.200063986,0.213231597,0.728536342,1.285764962,0.448609089,0.542077946,0.095411151,1.085703878,0.93676979,0.119813676,0.574425132,-0.121138848,0.45059641,-0.033637391,0.637055634,0.841426206,0.008449966,-0.194579625,1.507855096,0.228752091,-0.519280739,0.098873889,0.109977197,-0.604283504,0.782280293,0.064654122,-0.247088439,0.932108848,-0.517072134,,,,,,,
A8MZ76,0.816373205,0.561710429,-0.612110277,0.199858289,0.863228504,0.662885239,0.094174279,0.07107528,-0.070371596,0.065257456,0.253216298,0.173598416,-0.155399834,0.293904743,-0.092579371,0.371670251,0.671924051,-0.345926519,0.337546726,0.328711111,0.413987634,0.223438307,1.665775185,0.548541028,0.177430508,-0.209849108,0.666001153,0.316151911,0.375688703,0.591905025,,,,,,,
B0QY62,0.416365945,-1.160645357,-0.102217555,0.442444047,0.197228394,0.13096526,0.202379703,0.119975367,-0.312491043,-0.396022736,-0.010950201,-0.301363399,-0.369423445,0.344232101,0.214415896,0.444418034,-0.046258497,-0.712522056,0.462263709,-0.635964133,-0.487534354,-0.06203205,-0.703030311,0.202899881,-0.339026723,-0.133959582,-0.515058862,-0.542028586,0.31012753,-2.557115709,,,,,,,
B0V043,-0.295629876,-0.768907379,-0.367988352,0.140739639,0.08255576,-0.053809966,0.001603801,0.071297675,0.11145497,0.156298417,0.107999214,0.011795161,-0.088254041,0.272274358,0.084098589,0.586292775,0.74977157,0.029805209,-0.274092498,-0.315679632,-0.124249756,-0.257968435,0.080662504,0.239854707,0.27224216,0.754228783,0.314018868,0.350955619,0.549015426,0.339398765,,,,,,,
