User data and parameters: User data: textAreaUpload.txt, Organism: hsapiens, Id Type: entrezgene, Ref Set: entrezgene_protein-coding, Significance Level: .05, Statistics Test: Hypergeometric, MTC: BH, Minimum: 2

The results for the enriched KEGG pathways are listed in this table. For each pathway, the first row lists its KEGG pathway
name, and corresponding KEGG ID. The second row lists
number of reference genes in the category (C), number of genes in the gene set and also in the category (O), expected number in the
category (E), Ratio of enrichment (R), p value from hypergeometric test (rawP), and p value adjusted by the multiple test adjustment (adjP).
Finally, genes in the pathway are listed. For each gene, the table lists the user uploaded ID and value (optional), Entrez ID,
Ensembl Gene Stable ID, Gene symbol, and description.


KEGG pathway	Ribosome	03010
C=89;O=48;E=3.36;R=14.28;rawP=1.10e-44;adjP=1.53e-42
6122	NA	RPL3	ribosomal protein L3	6122	ENSG00000100316

6187	NA	RPS2	ribosomal protein S2	6187	ENSG00000140988

6181	NA	RPLP2	ribosomal protein, large, P2	6181	ENSG00000177600

6193	NA	RPS5	ribosomal protein S5	6193	ENSG00000083845

6156	NA	RPL30	ribosomal protein L30	6156	ENSG00000156482

23521	NA	RPL13A	ribosomal protein L13a	23521	ENSG00000142541

6164	NA	RPL34	ribosomal protein L34	6164	ENSG00000109475

6135	NA	RPL11	ribosomal protein L11	6135	ENSG00000142676

6147	NA	RPL23A	ribosomal protein L23a	6147	ENSG00000198242

6234	NA	RPS28	ribosomal protein S28	6234	ENSG00000233927

9349	NA	RPL23	ribosomal protein L23	9349	ENSG00000125691

6217	NA	RPS16	ribosomal protein S16	6217	ENSG00000105193

6134	NA	RPL10	ribosomal protein L10	6134	ENSG00000147403

6205	NA	RPS11	ribosomal protein S11	6205	ENSG00000142534

6155	NA	RPL27	ribosomal protein L27	6155	ENSG00000131469

6194	NA	RPS6	ribosomal protein S6	6194	ENSG00000137154

6168	NA	RPL37A	ribosomal protein L37a	6168	ENSG00000197756

6143	NA	RPL19	ribosomal protein L19	6143	ENSG00000108298

6228	NA	RPS23	ribosomal protein S23	6228	ENSG00000186468

6207	NA	RPS13	ribosomal protein S13	6207	ENSG00000110700

6159	NA	RPL29	ribosomal protein L29	6159	ENSG00000162244

11224	NA	RPL35	ribosomal protein L35	11224	ENSG00000136942

6230	NA	RPS25	ribosomal protein S25	6230	ENSG00000118181

6144	NA	RPL21	ribosomal protein L21	6144	ENSG00000122026

6169	NA	RPL38	ribosomal protein L38	6169	ENSG00000172809

6132	NA	RPL8	ribosomal protein L8	6132	ENSG00000161016

6129	NA	RPL7	ribosomal protein L7	6129	ENSG00000147604

6128	NA	RPL6	ribosomal protein L6	6128	ENSG00000089009

4736	NA	RPL10A	ribosomal protein L10a	4736	ENSG00000198755

6157	NA	RPL27A	ribosomal protein L27a	6157	ENSG00000166441

6175	NA	RPLP0	ribosomal protein, large, P0	6175	ENSG00000089157

6203	NA	RPS9	ribosomal protein S9	6203	ENSG00000170889

6189	NA	RPS3A	ribosomal protein S3A	6189	ENSG00000145425

25873	NA	RPL36	ribosomal protein L36	25873	ENSG00000130255

6191	NA	RPS4X	ribosomal protein S4, X-linked	6191	ENSG00000198034

6130	NA	RPL7A	ribosomal protein L7a	6130	ENSG00000148303

6165	NA	RPL35A	ribosomal protein L35a	6165	ENSG00000182899

6136	NA	RPL12	ribosomal protein L12	6136	ENSG00000197958

6210	NA	RPS15A	ribosomal protein S15a	6210	ENSG00000134419

6201	NA	RPS7	ribosomal protein S7	6201	ENSG00000171863

6233	NA	RPS27A	ribosomal protein S27a	6233	ENSG00000143947

6176	NA	RPLP1	ribosomal protein, large, P1	6176	ENSG00000137818

6223	NA	RPS19	ribosomal protein S19	6223	ENSG00000105372

9045	NA	RPL14	ribosomal protein L14	9045	ENSG00000188846

6206	NA	RPS12	ribosomal protein S12	6206	ENSG00000112306

6152	NA	RPL24	ribosomal protein L24	6152	ENSG00000114391

6146	NA	RPL22	ribosomal protein L22	6146	ENSG00000116251

6188	NA	RPS3	ribosomal protein S3	6188	ENSG00000149273


KEGG pathway	Metabolic pathways	01100
C=1130;O=125;E=42.68;R=2.93;rawP=3.81e-28;adjP=2.65e-26
4351	NA	MPI	mannose phosphate isomerase	4351	ENSG00000178802

2548	NA	GAA	glucosidase, alpha; acid	2548	ENSG00000171298

79717	NA	PPCS	phosphopantothenoylcysteine synthetase	79717	ENSG00000127125

8802	NA	SUCLG1	succinate-CoA ligase, alpha subunit	8802	ENSG00000163541

9588	NA	PRDX6	peroxiredoxin 6	9588	ENSG00000117592

4191	NA	MDH2	malate dehydrogenase 2, NAD (mitochondrial)	4191	ENSG00000146701

7358	NA	UGDH	UDP-glucose 6-dehydrogenase	7358	ENSG00000109814

134147	NA	CMBL	carboxymethylenebutenolidase homolog (Pseudomonas)	134147	ENSG00000164237

445	NA	ASS1	argininosuccinate synthase 1	445	ENSG00000130707

4706	NA	NDUFAB1	NADH dehydrogenase (ubiquinone) 1, alpha/beta subcomplex, 1, 8kDa	4706	ENSG00000004779

521	NA	ATP5I	ATP synthase, H+ transporting, mitochondrial Fo complex, subunit E	521	ENSG00000169020

54187	NA	NANS	N-acetylneuraminic acid synthase	54187	ENSG00000095380

526	NA	ATP6V1B2	ATPase, H+ transporting, lysosomal 56/58kDa, V1 subunit B2	526	ENSG00000147416

6389	NA	SDHA	succinate dehydrogenase complex, subunit A, flavoprotein (Fp)	6389	ENSG00000073578

2806	NA	GOT2	glutamic-oxaloacetic transaminase 2, mitochondrial (aspartate aminotransferase 2)	2806	ENSG00000125166

